"outcome","tau","n_e","n_o","n_eo","alpha_o_id","normalized_bias","coverage","rmse","avg_bias","sd_est","avg_se","n_sims","prop_na","estimator"
"Ybin",0.1,1000,1000,500,"02km",0.524108662578226,0.918,0.0361709657703527,0.0168042891345373,0.0320626052083793,0.0325705704078997,500,0,"PPIO"
"Ybin",0.1,1000,1000,500,"05km",0.714654821929715,0.892,0.0393420020750322,0.0228900533181341,0.0320295233667161,0.0325513512277987,500,0,"PPIO"
"Ybin",0.1,1000,1000,500,"10km",0.530638589692555,0.914,0.0362736407977143,0.0170159700471262,0.0320669668163128,0.032570049988562,500,0,"PPIO"
"Ybin",0.15,1000,1000,500,"02km",0.488737995320499,0.886,0.0387570350310158,0.0170319953026835,0.0348489281900713,0.0337718374839336,500,0,"PPIO"
"Ybin",0.15,1000,1000,500,"05km",0.665471490637339,0.87,0.041632728418541,0.023080998638494,0.0346836776078698,0.0337630684604296,500,0,"PPIO"
"Ybin",0.15,1000,1000,500,"10km",0.495138401597203,0.884,0.0389108259753287,0.0172795803294053,0.0348984855015594,0.0337614010001831,500,0,"PPIO"
"Ybin",0.2,1000,1000,500,"02km",0.510997442349675,0.926,0.0388402058464648,0.0176875209180338,0.0346137171190189,0.0349174777042403,500,0,"PPIO"
"Ybin",0.2,1000,1000,500,"05km",0.697019611507286,0.906,0.0417693449561631,0.0239006471794255,0.0342897771954235,0.0348625547014009,500,0,"PPIO"
"Ybin",0.2,1000,1000,500,"10km",0.518668890838089,0.926,0.0389622400774388,0.0179532395475226,0.0346140666322072,0.0349228198810314,500,0,"PPIO"
"Ybin",0,1000,1000,100,"02km",0.00433396452662637,0.954,0.0521658897124384,0.000226309410660727,0.0522176425926794,0.0523424796164114,500,0,"PPIV"
"Ybin",0,1000,1000,100,"05km",0.00433396452662637,0.954,0.0521658897124384,0.000226309410660727,0.0522176425926794,0.0523559211872821,500,0,"PPIV"
"Ybin",0,1000,1000,100,"10km",0.00433396452662637,0.952,0.0521658897124384,0.000226309410660727,0.0522176425926794,0.0523487468861623,500,0,"PPIV"
"Ybin",0.05,1000,1000,100,"02km",-0.0450628762391517,0.956,0.0513626065839519,-0.00231451129936904,0.0513618191410104,0.0548194491946475,500,0,"PPIV"
"Ybin",0.05,1000,1000,100,"05km",-0.0450628762391517,0.958,0.0513626065839519,-0.00231451129936904,0.0513618191410104,0.0549435392461878,500,0,"PPIV"
"Ybin",0.05,1000,1000,100,"10km",-0.0450628762391517,0.956,0.0513626065839519,-0.00231451129936904,0.0513618191410104,0.0548085736140399,500,0,"PPIV"
"Ybin",0.1,1000,1000,100,"02km",-0.00662171902945799,0.956,0.0573062928659779,-0.000379837862295046,0.05736242516562,0.0571668694948548,500,0,"PPIV"
"Ybin",0.1,1000,1000,100,"05km",-0.00662171902945799,0.954,0.0573062928659779,-0.000379837862295046,0.05736242516562,0.0572384844070379,500,0,"PPIV"
"Ybin",0.1,1000,1000,100,"10km",-0.00662171902945799,0.956,0.0573062928659779,-0.000379837862295046,0.05736242516562,0.0571727381002631,500,0,"PPIV"
"Ybin",0.15,1000,1000,100,"02km",0.0381139999249939,0.95,0.0580226021661088,0.00221207889830185,0.0580384872397306,0.0585209306012732,500,0,"PPIV"
"Ybin",0.15,1000,1000,100,"05km",0.0381139999249939,0.948,0.0580226021661088,0.00221207889830185,0.0580384872397306,0.0585697065498033,500,0,"PPIV"
"Ybin",0.15,1000,1000,100,"10km",0.0381139999249939,0.95,0.0580226021661088,0.00221207889830185,0.0580384872397306,0.0585187461685185,500,0,"PPIV"
"Ybin",0.2,1000,1000,100,"02km",0.0357381715265082,0.918,0.0661278498064723,0.00236414297479107,0.0661517608151134,0.0602062676550134,500,0,"PPIV"
"Ybin",0.2,1000,1000,100,"05km",0.0357381715265082,0.92,0.0661278498064723,0.00236414297479107,0.0661517608151134,0.0600970936769903,500,0,"PPIV"
"Ybin",0.2,1000,1000,100,"10km",0.0357381715265082,0.916,0.0661278498064723,0.00236414297479107,0.0661517608151134,0.0602009464987978,500,0,"PPIV"
"Ybin",0,1000,1000,250,"02km",0.0146577720567904,0.936,0.0385707275682467,0.000565866236347509,0.0386052009920132,0.0369403895357403,500,0,"PPIV"
"Ybin",0,1000,1000,250,"05km",0.0146577720567904,0.934,0.0385707275682467,0.000565866236347509,0.0386052009920132,0.0369458126219165,500,0,"PPIV"
"Ybin",0,1000,1000,250,"10km",0.0146577720567904,0.936,0.0385707275682467,0.000565866236347509,0.0386052009920132,0.0369387091696135,500,0,"PPIV"
"Ybin",0.05,1000,1000,250,"02km",-0.0333659714074982,0.954,0.0386244353931472,-0.00128931355860254,0.0386415711641111,0.0385885373395102,500,0,"PPIV"
"Ybin",0.05,1000,1000,250,"05km",-0.0333659714074982,0.954,0.0386244353931472,-0.00128931355860254,0.0386415711641111,0.0386296049666121,500,0,"PPIV"
"Ybin",0.05,1000,1000,250,"10km",-0.0333659714074982,0.954,0.0386244353931472,-0.00128931355860254,0.0386415711641111,0.0385745670736583,500,0,"PPIV"
"Ybin",0.1,1000,1000,250,"02km",-0.029786123574577,0.958,0.0388220724539524,-0.00115700297556705,0.038843690843832,0.0402173371015433,500,0,"PPIV"
"Ybin",0.1,1000,1000,250,"05km",-0.029786123574577,0.956,0.0388220724539524,-0.00115700297556705,0.038843690843832,0.0401851330856097,500,0,"PPIV"
"Ybin",0.1,1000,1000,250,"10km",-0.029786123574577,0.958,0.0388220724539524,-0.00115700297556705,0.038843690843832,0.0402153914154562,500,0,"PPIV"
"Ybin",0.15,1000,1000,250,"02km",0.0181953082316741,0.938,0.0413070193212874,0.000752221913944232,0.0413415318040491,0.0413148157832783,500,0,"PPIV"
"Ybin",0.15,1000,1000,250,"05km",0.0181953082316741,0.946,0.0413070193212874,0.000752221913944232,0.0413415318040491,0.0413411976715694,500,0,"PPIV"
"Ybin",0.15,1000,1000,250,"10km",0.0181953082316741,0.938,0.0413070193212874,0.000752221913944232,0.0413415318040491,0.0413236784950187,500,0,"PPIV"
"Ybin",0.2,1000,1000,250,"02km",0.0273398520869094,0.944,0.0421215025960155,0.00115231753434401,0.0421479066778034,0.0426200724365671,500,0,"PPIV"
"Ybin",0.2,1000,1000,250,"05km",0.0273398520869094,0.942,0.0421215025960155,0.00115231753434401,0.0421479066778034,0.0426568320170494,500,0,"PPIV"
"Ybin",0.2,1000,1000,250,"10km",0.0273398520869094,0.946,0.0421215025960155,0.00115231753434401,0.0421479066778034,0.0426343426337352,500,0,"PPIV"
"Ybin",0,1000,1000,500,"02km",0.0523412835228304,0.942,0.0339498115808744,0.00177631994295557,0.0339372637314248,0.0328953452095288,500,0,"PPIV"
"Ybin",0,1000,1000,500,"05km",0.0523412835228304,0.948,0.0339498115808744,0.00177631994295557,0.0339372637314248,0.0329023794206014,500,0,"PPIV"
"Ybin",0,1000,1000,500,"10km",0.0523412835228304,0.942,0.0339498115808744,0.00177631994295557,0.0339372637314248,0.0328859804564173,500,0,"PPIV"
"Ybin",0.05,1000,1000,500,"02km",-0.0387782822639401,0.962,0.0340381808248959,-0.00132026981296088,0.0340466296050611,0.0341640674240391,500,0,"PPIV"
"Ybin",0.05,1000,1000,500,"05km",-0.0387782822639401,0.962,0.0340381808248959,-0.00132026981296088,0.0340466296050611,0.0341796549821542,500,0,"PPIV"
"Ybin",0.05,1000,1000,500,"10km",-0.0387782822639401,0.962,0.0340381808248959,-0.00132026981296088,0.0340466296050611,0.0341645833962182,500,0,"PPIV"
"Ybin",0.1,1000,1000,500,"02km",-0.0245567680860607,0.95,0.0356474188800563,-0.000875997481115935,0.0356723440986187,0.0355854508561827,500,0,"PPIV"
"Ybin",0.1,1000,1000,500,"05km",-0.0245567680860607,0.95,0.0356474188800563,-0.000875997481115935,0.0356723440986187,0.035614375498084,500,0,"PPIV"
"Ybin",0.1,1000,1000,500,"10km",-0.0245567680860607,0.95,0.0356474188800563,-0.000875997481115935,0.0356723440986187,0.0355865304814343,500,0,"PPIV"
"Ybin",0.15,1000,1000,500,"02km",0.00946280977257637,0.952,0.0362906266687133,0.000343739803420789,0.036325342227312,0.0366925401687983,500,0,"PPIV"
"Ybin",0.15,1000,1000,500,"05km",0.00946280977257637,0.954,0.0362906266687133,0.000343739803420789,0.036325342227312,0.0367194519134598,500,0,"PPIV"
"Ybin",0.15,1000,1000,500,"10km",0.00946280977257637,0.952,0.0362906266687133,0.000343739803420789,0.036325342227312,0.0366881180325554,500,0,"PPIV"
