"shrid2","lat","lon","Ycons","Ylowinc","Ymidinc","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04308-569108",19.635,78.735,1,0,0,"Holdout",NA,2.37692884535489,0.0487457465793683
"11-28-532-04308-569109",19.635,78.705,1,1,1,"Holdout",NA,-8.82453321809602,-0.180972375664993
"11-28-532-04308-569110",19.615,78.745,1,1,1,"Holdout",NA,-9.83804843721148,-0.201757413518307
"11-28-532-04308-569111",19.595,78.775,0,1,1,"Holdout",NA,8.6995728547427,0.178409704840248
"11-28-532-04308-569112",19.625,78.775,1,1,1,"Holdout",NA,-5.24794988410583,-0.107624271383543
"11-28-532-04308-569113",19.655,78.765,1,1,1,"Holdout",NA,12.8049367181711,0.262601971215348
"11-28-532-04308-569114",19.675,78.765,0,1,1,"Holdout",NA,19.0958688227421,0.39161558587054
"11-28-532-04308-569115",19.685,78.785,0,1,1,"Holdout",NA,-4.52680774958243,-0.0928351825953451
"11-28-532-04308-569116",19.675,78.795,0,0,1,"Holdout",NA,-0.878353010667336,-0.0180131489206703
"11-28-532-04308-569117",19.675,78.815,0,0,1,"Holdout",NA,-35.6576236164398,-0.731261891926743
"11-28-532-04308-569118",19.665,78.815,1,1,1,"Holdout",NA,-35.9707438106697,-0.737683320008883
"11-28-532-04308-569119",19.675,78.835,0,0,0,"Holdout",NA,-5.30901489395932,-0.108876584636841
"11-28-532-04309-569120",19.665,78.285,1,0,0,"Holdout",NA,7.35435205210592,0.150822092166535
"11-28-532-04309-569121",19.665,78.325,0,0,0,"Holdout",NA,-53.7391222987092,-1.10207490732834
"11-28-532-04309-569122",19.665,78.355,0,0,0,"Holdout",NA,-53.5960230250816,-1.09914024609875
"11-28-532-04309-569123",19.685,78.345,1,0,0,"Holdout",NA,-56.4593757715226,-1.15786151056492
"11-28-532-04309-569124",19.695,78.375,1,0,0,"Holdout",NA,-29.4252079425609,-0.603448324595986
"11-28-532-04309-569125",19.675,78.405,0,0,0,"Holdout",NA,-23.8522736186371,-0.489159314730026
"11-28-532-04309-569126",19.665,78.425,1,0,1,"Holdout",NA,23.7705061076606,0.487482437285304
"11-28-532-04309-569127",19.665,78.445,0,0,0,"Holdout",NA,-9.6518710427709,-0.197939311808639
"11-28-532-04309-569128",19.645,78.455,0,0,1,"Holdout",NA,-43.0132945971292,-0.882111032508551
"11-28-532-04309-569129",19.645,78.415,0,0,0,"Holdout",NA,-56.0538868606204,-1.14954579689507
"11-28-532-04309-569130",19.665,78.385,0,0,1,"Holdout",NA,-33.6321162249788,-0.68972305066452
"11-28-532-04309-569131",19.645,78.385,1,0,0,"Holdout",NA,-54.486741627409,-1.11740698695952
"11-28-532-04309-569132",19.645,78.365,1,0,1,"Holdout",NA,-50.109125560961,-1.02763140793289
"11-28-532-04309-569133",19.635,78.345,0,0,0,"Holdout",NA,-34.6860468318753,-0.711336922016377
"11-28-532-04309-569134",19.645,78.315,1,0,1,"Holdout",NA,-29.4986641900767,-0.60495475573425
"11-28-532-04309-569135",19.635,78.315,0,0,0,"Holdout",NA,-44.9442286069854,-0.921710375202328
"11-28-532-04309-569136",19.605,78.315,1,0,1,"Holdout",NA,-60.3397350797381,-1.23743941288405
"11-28-532-04309-569137",19.605,78.355,1,0,0,"Holdout",NA,-25.2986345587196,-0.51882109614403
"11-28-532-04309-569138",19.625,78.395,1,1,1,"Holdout",NA,-47.7641139742083,-0.979540216327839
"11-28-532-04309-569139",19.625,78.415,0,0,1,"Holdout",NA,-24.9172720401163,-0.511000163379032
"11-28-532-04309-569140",19.615,78.445,1,0,0,"Holdout",NA,-19.7276126910509,-0.404571306681381
"11-28-532-04309-569142",19.595,78.455,1,0,1,"Holdout",NA,-10.378854118269,-0.212848185852123
"11-28-532-04309-569143",19.585,78.435,0,0,0,"Holdout",NA,-37.7057211376963,-0.773264008622876
"11-28-532-04309-569145",19.605,78.395,0,0,0,"Holdout",NA,-50.2838707542447,-1.03121505955309
"11-28-532-04309-569146",19.575,78.385,1,0,1,"Holdout",NA,-53.904768385476,-1.1054719556595
"11-28-532-04309-569147",19.575,78.415,0,0,0,"Holdout",NA,-41.7819837802708,-0.856859470958314
"11-28-532-04310-569148",19.575,78.475,1,0,0,"Holdout",NA,0.777948121352274,0.0159540585530956
"11-28-532-04310-569149",19.595,78.485,0,0,1,"Holdout",NA,-10.689247810067,-0.219213699178191
"11-28-532-04310-569150",19.575,78.505,1,0,1,"Holdout",NA,5.85386364651389,0.120050271753312
"11-28-532-04310-569151",19.605,78.515,0,0,0,"Holdout",NA,26.7567969042899,0.548724899241736
"11-28-532-04310-569152",19.535,78.565,1,0,0,"Holdout",NA,-35.0903476910117,-0.719628271275651
"11-28-532-04310-569153",19.535,78.535,1,0,0,"Holdout",NA,-1.77740441444961,-0.0364507777862717
"11-28-532-04310-569154",19.535,78.505,1,0,0,"Holdout",NA,-20.5854584591251,-0.422163895747077
"11-28-532-04310-569155",19.545,78.485,1,0,0,"Holdout",NA,9.96618536434061,0.204385228898436
"11-28-532-04310-569157",19.535,78.455,1,0,0,"Holdout",NA,-24.1445918949544,-0.495154139794196
"11-28-532-04310-569158",19.515,78.475,1,0,0,"Holdout",NA,17.9661741268536,0.368447954468594
"11-28-532-04310-569159",19.495,78.485,1,0,0,"Holdout",NA,-1.4941505837183,-0.0306418451893002
"11-28-532-04310-569160",19.515,78.495,1,0,1,"Holdout",NA,22.248917576212,0.45627789824451
"11-28-532-04310-569161",19.505,78.525,0,0,0,"Holdout",NA,23.7917234940476,0.487917560676531
"11-28-532-04310-569162",19.495,78.555,1,0,0,"Holdout",NA,-52.9878193573878,-1.08666728465021
"11-28-532-04310-569163",19.485,78.515,1,0,1,"Holdout",NA,-35.7349107994649,-0.732846887390505
"11-28-532-04310-569164",19.475,78.535,1,1,1,"Holdout",NA,-3.32926912096354,-0.0682762166743672
"11-28-532-04310-569166",19.455,78.555,1,0,0,"Holdout",NA,-4.90519535536584,-0.100595106236449
"11-28-532-04310-569167",19.455,78.525,0,0,0,"Holdout",NA,-32.7327093756414,-0.671278132367857
"11-28-532-04310-569168",19.455,78.545,0,0,0,"Holdout",NA,-43.4952036827991,-0.891993961149965
"11-28-532-04311-569169",19.545,78.585,0,0,0,"Holdout",NA,-10.4507945644974,-0.214323531135391
"11-28-532-04311-569170",19.535,78.615,0,1,1,"Holdout",NA,3.08474130589693,0.0632614721530338
"11-28-532-04311-569171",19.545,78.645,1,0,0,"Holdout",NA,-29.3648170674411,-0.602209836409834
"11-28-532-04311-569172",19.535,78.675,1,0,1,"Holdout",NA,-43.9994888687526,-0.90233577593599
"11-28-532-04311-569173",19.525,78.705,1,0,0,"Holdout",NA,-52.1867147966128,-1.07023833685927
"11-28-532-04311-569174",19.545,78.765,1,0,1,"Holdout",NA,-34.1422176486483,-0.700184144094625
"11-28-532-04311-569175",19.515,78.745,0,0,0,"Holdout",NA,-50.286122270448,-1.03126123335358
"11-28-532-04311-569176",19.495,78.695,0,0,0,"Holdout",NA,-41.1292013089327,-0.843472293222014
"11-28-532-04311-569177",19.515,78.665,0,0,0,"Holdout",NA,27.2298610715257,0.558426437450133
"11-28-532-04311-569178",19.515,78.645,1,0,1,"Holdout",NA,-4.50402759318262,-0.0923680101206311
"11-28-532-04311-569179",19.525,78.615,1,0,0,"Holdout",NA,12.2137353230148,0.250477690153262
"11-28-532-04311-569180",19.515,78.595,0,0,0,"Holdout",NA,-20.1501707504561,-0.413237072221264
"11-28-532-04311-569181",19.495,78.595,1,0,1,"Holdout",NA,-46.8679034053833,-0.961160846934822
"11-28-532-04311-569182",19.505,78.625,0,0,0,"Holdout",NA,-22.3085230201206,-0.457500278909879
"11-28-532-04311-569183",19.505,78.655,0,0,1,"Holdout",NA,-35.7778917190368,-0.733728334480221
"11-28-532-04311-569184",19.495,78.665,1,0,1,"Holdout",NA,-8.96350846975202,-0.183822461990154
"11-28-532-04311-569185",19.485,78.655,0,0,0,"Holdout",NA,-37.8735413795709,-0.776705644243266
"11-28-532-04311-569186",19.465,78.685,0,0,0,"Holdout",NA,-53.3736544034013,-1.09457993942369
"11-28-532-04311-569187",19.465,78.665,0,1,1,"Holdout",NA,-37.7862451586768,-0.774915384737031
"11-28-532-04311-569188",19.455,78.635,1,0,1,"Holdout",NA,-27.9935392700924,-0.57408785028892
"11-28-532-04311-569189",19.485,78.635,1,0,1,"Holdout",NA,-18.1356571558374,-0.371923690310031
