"shrid2","y_05k_raw","y_10k_raw","y_cons_raw","lat","lon","d_name","sd_name","clusters","wave","tot_p","tot_m","tot_f","urban","y_05k","y_10k","y_cons","D"
"11-28-532-04307-569065",0.010344828,0,17021.138671875,19.695,78.625,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1529,0.567691302,0.432308698,0,0,1,1,NA
"11-28-532-04307-569066",0.014084507,0,19593.45703125,19.685,78.635,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",688,0.498546512,0.501453488,0,0,1,0,NA
"11-28-532-04307-569067",0,0,27199.96484375,19.675,78.645,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",402,0.512437811,0.487562189,0,1,1,0,NA
"11-28-532-04307-569068",0.060240965,0.024096385,19884.859375,19.695,78.655,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",404,0.524752475,0.475247525,0,0,0,0,NA
"11-28-532-04307-569069",0.145413876,0.020134227,22421.5,19.685,78.675,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1822,0.489023052,0.510976948,0,0,0,0,NA
"11-28-532-04307-569070",0.011160715,0.004464286,16927.619140625,19.655,78.705,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",2046,0.517106549,0.482893451,0,0,0,1,NA
"11-28-532-04307-569071",0,0,18472.900390625,19.665,78.665,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1756,0.492596811,0.507403189,0,1,1,1,NA
"11-28-532-04307-569072",0.005934718,0,16288.8115234375,19.635,78.665,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1359,0.498160412,0.501839588,0,0,1,1,NA
"11-28-532-04308-569074",0.002079002,0.002079002,18287.98828125,19.765,78.735,"Adilabad","Bela","BELA ADILABAD","Holdout",2166,0.514312096,0.485687904,0,0,0,1,NA
"11-28-532-04308-569075",0,0,18611.353515625,19.765,78.755,"Adilabad","Bela","BELA ADILABAD","Holdout",1131,0.527851459,0.472148541,0,1,1,1,NA
"11-28-532-04308-569076",0,0,18978.19921875,19.755,78.775,"Adilabad","Bela","BELA ADILABAD","Holdout",609,0.510673235,0.489326765,0,1,1,1,NA
"11-28-532-04308-569077",0,0,16756.4609375,19.765,78.785,"Adilabad","Bela","BELA ADILABAD","Holdout",439,0.514806378,0.485193622,0,1,1,1,NA
"11-28-532-04308-569078",0.577981651,0.275229365,23404.43359375,19.755,78.785,"Adilabad","Bela","BELA ADILABAD","Holdout",511,0.499021526,0.500978474,0,0,0,0,NA
"11-28-532-04308-569079",0,0,23938.2578125,19.755,78.805,"Adilabad","Bela","BELA ADILABAD","Holdout",427,0.524590164,0.475409836,0,1,1,0,NA
"11-28-532-04308-569080",0.014814815,0.014814815,18445.09765625,19.745,78.835,"Adilabad","Bela","BELA ADILABAD","Holdout",616,0.529220779,0.470779221,0,0,0,1,NA
"11-28-532-04308-569082",0,0,18156.091796875,19.725,78.835,"Adilabad","Bela","BELA ADILABAD","Holdout",819,0.517704518,0.482295482,0,1,1,1,NA
"11-28-532-04308-569084",0.866336644,0.123762377,25573.755859375,19.735,78.785,"Adilabad","Bela","BELA ADILABAD","Holdout",890,0.524719101,0.475280899,0,0,0,0,NA
"11-28-532-04308-569085",0,0,18018.91796875,19.735,78.775,"Adilabad","Bela","BELA ADILABAD","Holdout",242,0.541322314,0.458677686,0,1,1,1,NA
"11-28-532-04308-569086",0.807692289,0.007692308,19581.1796875,19.745,78.755,"Adilabad","Bela","BELA ADILABAD","Holdout",662,0.552870091,0.447129909,0,0,0,0,NA
