"shrid2","lat","lon","Ycons","Y05k","Y10k","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04311-569199",19.425,78.655,1,1,1,"Holdout",NA,29.6065496484289,0.607377725599935
"11-28-532-04311-569200",19.435,78.645,0,0,0,"Holdout",NA,35.5910833147836,0.730150304310054
"11-28-532-04311-569201",19.435,78.655,0,0,0,"Holdout",NA,39.1828130456692,0.803834562044245
"11-28-532-04311-569202",19.435,78.675,0,0,0,"Holdout",NA,18.1935349664217,0.373239976280536
"11-28-532-04312-569203",19.645,78.815,1,1,1,"Holdout",NA,39.1685338730615,0.803541625127079
"11-28-532-04312-569204",19.645,78.855,1,0,0,"Holdout",NA,32.3294727830274,0.663238434804989
"11-28-532-04312-569205",19.635,78.875,1,0,1,"Holdout",NA,20.8031461749343,0.426776093773058
"11-28-532-04312-569206",19.635,78.905,1,0,0,"Holdout",NA,28.3715410221373,0.5820415503468
"11-28-532-04312-569207",19.655,78.915,1,0,1,"Holdout",NA,43.8687565810101,0.899966592307222
"11-28-532-04312-569208",19.655,78.935,1,1,1,"Holdout",NA,34.5329716242741,0.70844316586792
"11-28-532-04312-569209",19.645,78.955,1,0,0,"Holdout",NA,49.7165056849049,1.01993303867735
"11-28-532-04312-569210",19.625,78.955,1,0,0,"Holdout",NA,37.2598612912938,0.764385248399792
"11-28-532-04312-569211",19.625,78.935,1,1,1,"Holdout",NA,26.9018211967603,0.551890279921609
"11-28-532-04312-569212",19.635,78.925,1,1,1,"Holdout",NA,21.4395343324996,0.439831583059404
"11-28-532-04312-569213",19.615,78.895,1,1,1,"Holdout",NA,40.6851343793282,0.834654651706619
"11-28-532-04312-569214",19.615,78.865,1,0,0,"Holdout",NA,22.3861033861405,0.459250426719028
"11-28-532-04312-569215",19.605,78.835,1,0,1,"Holdout",NA,39.2686916510483,0.805596359775903
"11-28-532-04312-569216",19.605,78.815,1,0,1,"Holdout",NA,40.7133206766328,0.835232892986107
"11-28-532-04312-569217",19.585,78.805,1,0,1,"Holdout",NA,37.634742993472,0.772075938410679
"11-28-532-04312-569218",19.575,78.845,1,0,0,"Holdout",NA,-3.05413780989457,-0.0626555711040434
"11-28-532-04312-569219",19.585,78.855,0,0,0,"Holdout",NA,28.7548757690081,0.589905654386702
"11-28-532-04312-569220",19.585,78.875,1,0,0,"Holdout",NA,53.4455567249495,1.09643444009845
"11-28-532-04312-569221",19.585,78.885,1,0,1,"Holdout",NA,15.2656088912068,0.313173636183282
