"shrid2","lat","lon","d_name","sd_name","y_cons","y_05k","y_10k","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04309-569131",19.645,78.385,"Adilabad","Talamadugu",1,0,0,"Holdout",NA,56.0039671648291,1.15718340533775
"11-28-532-04309-569132",19.645,78.365,"Adilabad","Talamadugu",1,0,1,"Holdout",NA,51.6881646878194,1.06800802616483
"11-28-532-04309-569133",19.635,78.345,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,34.9305199593078,0.721752762938456
"11-28-532-04309-569134",19.645,78.315,"Adilabad","Talamadugu",1,0,1,"Holdout",NA,29.2699643286406,0.604791387300182
"11-28-532-04309-569135",19.635,78.315,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,45.7137120775688,0.944560746149632
"11-28-532-04309-569136",19.605,78.315,"Adilabad","Talamadugu",1,0,1,"Holdout",NA,61.8219753903299,1.27739814924782
"11-28-532-04309-569137",19.605,78.355,"Adilabad","Talamadugu",1,0,0,"Holdout",NA,24.9612191644963,0.515761830035025
"11-28-532-04309-569138",19.625,78.395,"Adilabad","Talamadugu",1,1,1,"Holdout",NA,48.7814040920325,1.00794701093649
"11-28-532-04309-569139",19.625,78.415,"Adilabad","Talamadugu",0,0,1,"Holdout",NA,24.6068603154965,0.508439881245392
"11-28-532-04309-569140",19.615,78.445,"Adilabad","Talamadugu",1,0,0,"Holdout",NA,19.1607350526838,0.395909178572683
"11-28-532-04309-569142",19.595,78.455,"Adilabad","Talamadugu",1,0,1,"Holdout",NA,9.25329283045213,0.191196400008864
"11-28-532-04309-569143",19.585,78.435,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,38.1544442732502,0.788367181613103
"11-28-532-04309-569145",19.605,78.395,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,51.2888833488545,1.05975786527621
"11-28-532-04309-569146",19.575,78.385,"Adilabad","Talamadugu",1,0,1,"Holdout",NA,56.0983736687675,1.15913408214234
"11-28-532-04309-569147",19.575,78.415,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,42.1655478187144,0.871246711312162
"11-28-532-04310-569148",19.575,78.475,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,-2.76073133117171,-0.057043681809638
"11-28-532-04310-569149",19.595,78.485,"Adilabad","Gudihathnoor",0,0,1,"Holdout",NA,9.61289079009863,0.198626602056364
"11-28-532-04310-569150",19.575,78.505,"Adilabad","Gudihathnoor",1,0,1,"Holdout",NA,-8.10784002369484,-0.167528452063751
"11-28-532-04310-569151",19.605,78.515,"Adilabad","Gudihathnoor",0,0,0,"Holdout",NA,-29.9700962731113,-0.619257881527348
"11-28-532-04310-569152",19.535,78.565,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,35.2112591900011,0.727553544480048
"11-28-532-04310-569153",19.535,78.535,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,0.00318267697391783,6.57621444549625e-05
"11-28-532-04310-569154",19.535,78.505,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,20.1492722133776,0.41633485296371
"11-28-532-04310-569155",19.545,78.485,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,-11.9281967161682,-0.24646667002945
"11-28-532-04310-569157",19.535,78.455,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,25.7245197286569,0.531533547483755
"11-28-532-04310-569158",19.515,78.475,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,-20.5019947892913,-0.423622992218811
"11-28-532-04310-569159",19.495,78.485,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,-0.093856296869041,-0.00193930813693389
"11-28-532-04310-569160",19.515,78.495,"Adilabad","Gudihathnoor",1,0,1,"Holdout",NA,-25.4535719401845,-0.525935081867732
"11-28-532-04310-569161",19.505,78.525,"Adilabad","Gudihathnoor",0,0,0,"Holdout",NA,-27.2763299198136,-0.563597865287446
"11-28-532-04310-569162",19.495,78.555,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,54.4715748214955,1.12552030931183
"11-28-532-04310-569163",19.485,78.515,"Adilabad","Gudihathnoor",1,0,1,"Holdout",NA,36.1741373369981,0.747449038843652
"11-28-532-04310-569164",19.475,78.535,"Adilabad","Gudihathnoor",1,1,1,"Holdout",NA,1.50811416237276,0.0311614474902512
"11-28-532-04310-569166",19.455,78.555,"Adilabad","Gudihathnoor",1,0,0,"Holdout",NA,3.80815401947283,0.0786860799224175
"11-28-532-04310-569167",19.455,78.525,"Adilabad","Gudihathnoor",0,0,0,"Holdout",NA,32.8622611609157,0.679017312565824
"11-28-532-04310-569168",19.455,78.545,"Adilabad","Gudihathnoor",0,0,0,"Holdout",NA,44.6395464165074,0.922365770677528
"11-28-532-04311-569169",19.545,78.585,"Adilabad","Inderavelly",0,0,0,"Holdout",NA,9.58743422238526,0.198100605074257
"11-28-532-04311-569170",19.535,78.615,"Adilabad","Inderavelly",0,1,1,"Holdout",NA,-4.81058674019736,-0.0993988716783295
"11-28-532-04311-569171",19.545,78.645,"Adilabad","Inderavelly",1,0,0,"Holdout",NA,30.1190495483865,0.622335632391171
"11-28-532-04311-569172",19.535,78.675,"Adilabad","Inderavelly",1,0,1,"Holdout",NA,45.2129598968377,0.93421394139519
"11-28-532-04311-569173",19.525,78.705,"Adilabad","Inderavelly",1,0,0,"Holdout",NA,54.04358253329,1.11667690769947
"11-28-532-04311-569174",19.545,78.765,"Adilabad","Inderavelly",1,0,1,"Holdout",NA,34.442955888112,0.711678457834926
"11-28-532-04311-569175",19.515,78.745,"Adilabad","Inderavelly",0,0,0,"Holdout",NA,51.2762458580513,1.05949674279894
"11-28-532-04311-569176",19.495,78.695,"Adilabad","Inderavelly",0,0,0,"Holdout",NA,42.0879785467298,0.869643934243877
"11-28-532-04311-569177",19.515,78.665,"Adilabad","Inderavelly",0,0,0,"Holdout",NA,-30.4870415082161,-0.629939275682355
"11-28-532-04311-569178",19.515,78.645,"Adilabad","Inderavelly",1,0,1,"Holdout",NA,3.3040504740985,0.0682700275102333
"11-28-532-04311-569179",19.525,78.615,"Adilabad","Inderavelly",1,0,0,"Holdout",NA,-14.5614530211634,-0.300876395847144
"11-28-532-04311-569180",19.515,78.595,"Adilabad","Inderavelly",0,0,0,"Holdout",NA,20.0056886904624,0.413368054745499
"11-28-532-04311-569181",19.495,78.595,"Adilabad","Inderavelly",1,0,1,"Holdout",NA,48.3759011701772,0.99956829643211
"11-28-532-04311-569182",19.505,78.625,"Adilabad","Inderavelly",0,0,0,"Holdout",NA,22.0749162920505,0.456123523038973
