shrid2,state_name,district_name,subdistrict_name,clusters,wave,D,Ycons_raw,urban,tot_p,tot_f,Ylowinc_raw,Ymidinc_raw,Ylowinc,Ymidinc,Ycons
11-28-532-04307-569061,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,23370.923828125,0,646,0.47058823529411764,0,0,1,1,0
11-28-532-04307-569062,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,20090.71875,0,4484,0.5082515611061552,0.06052393838763237,0.00542005430907011,0,0,0
11-28-532-04307-569063,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,23657.5234375,0,282,0.5,0.2800000011920929,0.11999999731779099,0,0,0
11-28-532-04307-569064,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,21897.23046875,0,835,0.48622754491017967,0.909547746181488,0.1306532621383667,0,0,0
11-28-532-04307-569065,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,17021.138671875,0,1529,0.4323086984957489,0.01034482754766941,0,0,1,1
11-28-532-04307-569066,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,19593.45703125,0,688,0.501453488372093,0.014084506779909134,0,0,1,0
11-28-532-04307-569067,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,27199.96484375,0,402,0.48756218905472637,0,0,1,1,0
11-28-532-04307-569068,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,19884.859375,0,404,0.4752475247524752,0.0602409653365612,0.024096384644508362,0,0,0
11-28-532-04307-569069,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,22421.5,0,1822,0.5109769484083425,0.14541387557983398,0.020134227350354195,0,0,0
11-28-532-04307-569070,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,16927.619140625,0,2046,0.48289345063538613,0.01116071455180645,0.004464285913854837,0,0,1
11-28-532-04307-569071,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,18472.900390625,0,1756,0.5074031890660592,0,0,1,1,1
11-28-532-04307-569072,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,16288.8115234375,0,1359,0.5018395879323032,0.005934718064963818,0,0,1,1
11-28-532-04308-569074,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18287.98828125,0,2166,0.4856879039704525,0.0020790020935237408,0.0020790020935237408,0,0,1
11-28-532-04308-569075,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18611.353515625,0,1131,0.47214854111405835,0,0,1,1,1
11-28-532-04308-569076,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18978.19921875,0,609,0.48932676518883417,0,0,1,1,0
11-28-532-04308-569077,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,16756.4609375,0,439,0.48519362186788156,0,0,1,1,1
11-28-532-04308-569078,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,23404.43359375,0,511,0.5009784735812133,0.5779816508293152,0.2752293646335602,0,0,0
11-28-532-04308-569079,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,23938.2578125,0,427,0.47540983606557374,0,0,1,1,0
11-28-532-04308-569080,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18445.09765625,0,616,0.4707792207792208,0.014814814552664757,0.014814814552664757,0,0,1
11-28-532-04308-569082,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18156.091796875,0,819,0.4822954822954823,0,0,1,1,1
11-28-532-04308-569084,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,25573.755859375,0,890,0.4752808988764045,0.8663366436958313,0.12376237660646439,0,0,0
11-28-532-04308-569085,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18018.91796875,0,242,0.45867768595041325,0,0,1,1,1
11-28-532-04308-569086,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,19581.1796875,0,662,0.4471299093655589,0.807692289352417,0.007692307699471712,0,0,0
11-28-532-04308-569087,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18032.138671875,0,406,0.49014778325123154,0.012658228166401386,0,0,1,1
11-28-532-04308-569088,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,19342.32421875,0,1118,0.4776386404293381,0.20930232107639313,0.011627906933426857,0,0,0
11-28-532-04308-569089,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,23475.654296875,0,1701,0.4808935920047031,0.3446601927280426,0.0024271844886243343,0,0,0
11-28-532-04308-569091,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18467.4140625,0,625,0.512,0,0,1,1,1
11-28-532-04308-569092,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,20079.15625,0,496,0.5060483870967742,0.0625,0,0,1,0
11-28-532-04308-569093,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18785.15234375,0,3816,0.4913522012578616,0.12725089490413666,0.02881152369081974,0,0,1
11-28-532-04308-569096,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,17607.685546875,0,190,0.531578947368421,0.06976744532585144,0,0,1,1
11-28-532-04308-569097,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,20341.60546875,0,181,0.5303867403314917,0.023255813866853714,0,0,1,0
11-28-532-04308-569098,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,20335.27734375,0,785,0.4713375796178344,0.0057142856530845165,0.0057142856530845165,0,0,0
11-28-532-04308-569099,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,17123.45703125,0,1135,0.4933920704845815,0.03212851285934448,0,0,1,1
11-28-532-04308-569100,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,21352.74609375,0,1621,0.4700801974090068,0.12668463587760925,0.013477088883519173,0,0,0
11-28-532-04308-569102,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,20464.150390625,0,721,0.4840499306518724,0.04093567281961441,0.005847953259944916,0,0,0
11-28-532-04308-569103,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,17949.765625,0,435,0.5379310344827586,0,0,1,1,1
11-28-532-04308-569104,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,14008.36328125,0,668,0.4940119760479042,0,0,1,1,1
11-28-532-04308-569105,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,17880.357421875,0,731,0.4719562243502052,0.021739130839705467,0,0,1,1
11-28-532-04308-569106,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18387.216796875,0,1384,0.4653179190751445,0.0060606058686971664,0.0030303029343485832,0,0,1
11-28-532-04308-569107,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,20376.9765625,0,318,0.5188679245283019,0,0,1,1,0
11-28-532-04308-569108,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18801.080078125,0,850,0.5011764705882353,0.07865168899297714,0.00561797758564353,0,0,1
11-28-532-04308-569109,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,15716.150390625,0,272,0.5367647058823529,0,0,1,1,1
11-28-532-04308-569110,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,17431.482421875,0,356,0.5084269662921348,0,0,1,1,1
11-28-532-04308-569111,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,21761.763671875,0,712,0.476123595505618,0,0,1,1,0
11-28-532-04308-569112,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,10662.189453125,0,219,0.3789954337899543,0,0,1,1,1
11-28-532-04308-569113,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,14694.447265625,0,257,0.5175097276264592,0,0,1,1,1
11-28-532-04308-569114,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,20236.49609375,0,367,0.4604904632152589,0,0,1,1,0
11-28-532-04308-569115,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,25064.67578125,0,198,0.4444444444444444,0,0,1,1,0
11-28-532-04308-569116,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,22952.814453125,0,385,0.5324675324675324,0.009900989942252636,0,0,1,0
11-28-532-04308-569117,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,20614.9921875,0,756,0.4828042328042328,0.1111111119389534,0,0,1,0
11-28-532-04308-569118,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,18858.748046875,0,414,0.47342995169082125,0,0,1,1,1
11-28-532-04308-569119,andhra pradesh,adilabad,bela,BELA ADILABAD,Holdout,NA,19501.9140625,0,560,0.5160714285714286,0.043103449046611786,0.008620689623057842,0,0,0
11-28-532-04309-569120,andhra pradesh,adilabad,talamadugu,TALAMADUGU ADILABAD,Holdout,NA,18345.5703125,0,335,0.44776119402985076,0.053333334624767303,0.013333333656191826,0,0,1
11-28-532-04309-569121,andhra pradesh,adilabad,talamadugu,TALAMADUGU ADILABAD,Holdout,NA,19122.259765625,0,962,0.4916839916839917,0.17142857611179352,0.02857142873108387,0,0,0
11-28-532-04309-569122,andhra pradesh,adilabad,talamadugu,TALAMADUGU ADILABAD,Holdout,NA,21320.681640625,0,369,0.5230352303523035,0.9213483333587646,0.01123595517128706,0,0,0
11-28-532-04309-569123,andhra pradesh,adilabad,talamadugu,TALAMADUGU ADILABAD,Holdout,NA,18736.453125,0,3392,0.5002948113207547,0.102257639169693,0.014608234167098999,0,0,1
