shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled
11-28-543-04834-583071,0,0,0,Treatment,1,25.658105342747813,0.5257046275375454
11-28-543-04834-583072,1,0,0,Treatment,1,18.889877624933423,0.38703154221214797
11-28-543-04834-583073,0,0,0,Treatment,1,34.551939551870504,0.7079289086304222
11-28-543-04834-583074,0,0,0,Treatment,1,41.28333659395215,0.8458473764028323
11-28-543-04834-583075,0,0,0,Treatment,1,20.800150481356173,0.4261708031616962
11-28-543-04834-583076,0,0,0,Treatment,1,25.97505056510126,0.5321984651705809
11-28-543-04834-583077,0,0,0,Treatment,1,53.81897169671522,1.1026879066997153
11-28-543-04834-583078,1,0,0,Treatment,1,23.44863383495235,0.4804351354786263
11-28-543-04834-583079,0,0,1,Treatment,1,33.92253493014475,0.6950331426408938
11-28-543-04834-583080,0,0,0,Treatment,1,26.518146348325526,0.5433258638082914
11-28-543-04834-583081,0,0,0,Treatment,1,-0.9934683305691131,-0.020355006408912326
11-28-543-04834-583082,0,0,0,Treatment,1,20.375993188903255,0.41748031536192887
11-28-543-04834-583083,0,0,0,Treatment,1,13.488973607396199,0.2763733234162713
11-28-543-04834-583084,1,0,0,Treatment,1,30.204255621977644,0.6188499399971708
11-28-543-04835-583087,0,0,0,Buffer,0,26.47795686191643,0.5425024281453151
11-28-543-04835-583088,0,0,0,Buffer,0,26.480312123883134,0.5425506847136946
11-28-543-04835-583089,0,0,0,Buffer,0,46.049304237947716,0.9434964900717357
11-28-543-04835-583090,0,0,0,Buffer,0,-2.5995160777178308,-0.05326104999412081
11-28-543-04835-583091,0,0,0,Buffer,0,-14.561314601509064,-0.29834433863243093
11-28-543-04835-583092,0,0,0,Buffer,0,-18.231362858268785,-0.3735393433333534
11-28-543-04835-583093,0,0,1,Buffer,0,10.229892977372819,0.20959856566099797
11-28-543-04835-583094,0,0,0,Buffer,0,2.871871095328061,0.05884128638251194
11-28-543-04835-583095,1,0,0,Buffer,0,1.57837804463102,0.03233912367971168
