"pc11_tv_id","village_id","district","R_bal","R_max","R_prob","Y","Y_recon","S","D","rabovemed","baseline_complete","listing_not_complete","vill_added_back"
"035860",1023,"Bathinda",0,0,0.140091776847839,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.187656998634338,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.225105047225952,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.195011973381042,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.286058723926544,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.227677345275879,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.211388826370239,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.292263031005859,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",1,0,0.35577654838562,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.208147585391998,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.229018807411194,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.244085371494293,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.280564785003662,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.249225378036499,NA,NA,"e",0,1,0,0,0
"035846",1024,"Bathinda",0,0,0.122160792350769,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.153535544872284,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.215378522872925,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.093913197517395,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.20964115858078,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.271641194820404,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.137434124946594,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.279147326946259,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.325198650360107,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.181275606155396,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.183028757572174,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.206656336784363,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.324493765830994,NA,NA,"e",1,0,0,1,0
"035846",1024,"Bathinda",0,0,0.295032739639282,NA,NA,"e",1,0,0,1,0
"035861",1025,"Bathinda",0,0,0.122702777385712,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.0157968401908875,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.157799243927002,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.0115924477577209,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.0351858735084534,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",1,0,0.366081595420837,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.269752264022827,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.0608343482017517,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.303737461566925,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",1,0,0.39011412858963,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.182327687740326,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.253791153430939,NA,NA,"e",1,1,0,0,1
"035861",1025,"Bathinda",0,0,0.246909916400909,NA,NA,"e",1,1,0,0,1
"035728",1026,"Bathinda",0,0,0.27848482131958,0,0,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.346718013286591,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.291631102561951,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.281694889068604,0,0,"o",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.247283399105072,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.267026841640472,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.170824944972992,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.233610808849335,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.21626889705658,0,0,"o",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.319144368171692,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.18503725528717,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.163106381893158,0,0,"o",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.0719447731971741,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.186469972133636,0,0,"o",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.184817016124725,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",1,1,0.512372374534607,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",1,1,0.528547167778015,NA,1,"o",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.143547832965851,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.231408059597015,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",1,0,0.353584289550781,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.118333339691162,0,0,"o",1,0,0,1,0
"035728",1026,"Bathinda",1,0,0.408183991909027,NA,1,"o",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.196207463741302,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.309799373149872,NA,NA,"e",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.149493098258972,0,0,"o",1,0,0,1,0
"035728",1026,"Bathinda",0,0,0.110070526599884,0,0,"o",1,0,0,1,0
"035772",1027,"Bathinda",0,0,0.218953847885132,0,0,"o",1,1,0,0,0
"035772",1027,"Bathinda",0,0,0.137991547584534,0,0,"o",1,1,0,0,0
"035772",1027,"Bathinda",0,0,0.247596025466919,0,0,"o",1,1,0,0,0
"035772",1027,"Bathinda",0,0,0.14064747095108,NA,1,"o",1,1,0,0,0
"035772",1027,"Bathinda",0,0,0.185021579265594,NA,NA,"e",1,1,0,0,0
"035772",1027,"Bathinda",0,0,0.111748695373535,NA,1,"o",1,1,0,0,0
"035772",1027,"Bathinda",0,0,0.237983226776123,NA,NA,"e",1,1,0,0,0
"035772",1027,"Bathinda",1,0,0.363471806049347,1,1,"o",1,1,0,0,0
"035772",1027,"Bathinda",0,0,0.177626252174377,0,0,"o",1,1,0,0,0
"035897",1030,"Bathinda",0,0,0.239928543567657,NA,NA,"e",1,1,0,0,1
"035897",1030,"Bathinda",0,0,0.246560513973236,0,0,"o",1,1,0,0,1
"035897",1030,"Bathinda",0,0,0.323684990406036,NA,NA,"e",1,1,0,0,1
"035897",1030,"Bathinda",0,0,0.308473348617554,NA,NA,"e",1,1,0,0,1
"035897",1030,"Bathinda",0,0,0.0548964738845825,NA,NA,"e",1,1,0,0,1
"035897",1030,"Bathinda",0,0,0.23897260427475,NA,1,"o",1,1,0,0,1
"035897",1030,"Bathinda",0,0,0.0813112854957581,NA,NA,"e",1,1,0,0,1
"035897",1030,"Bathinda",0,0,0.220381081104279,0,0,"o",1,1,0,0,1
"035897",1030,"Bathinda",0,0,0.279979646205902,1,1,"o",1,1,0,0,1
"035897",1030,"Bathinda",0,0,0.0984665751457214,0,0,"o",1,1,0,0,1
