shrid2,centroid_lat,centroid_lon,distance_km,lat,lon
11-28-551-05221-593242,14.548194720410866,78.32926490974403,0.5810857338614522,14.545,78.325
11-28-551-05221-593243,14.535862187443472,78.30030564,0.5148725665959293,14.535,78.305
11-28-551-05221-593244,14.536511036216302,78.27114012239562,0.4486517171303839,14.535,78.275
11-28-551-05221-593245,14.53077818507152,78.24211701710179,0.5633683710979023,14.535,78.245
11-28-551-05221-593246,14.518652118349118,78.22432247785473,0.41305625081911734,14.515,78.225
11-28-551-05221-593247,14.480939812868307,78.25364716839334,0.4749156665496932,14.485,78.255
11-28-551-05221-593248,14.508262537660174,78.26411010018947,0.37563332548132317,14.505,78.265
11-28-551-05221-593250,14.50868926604676,78.31390388185895,0.4273388182119746,14.505,78.315
11-28-551-05221-593251,14.528002062545369,78.35845456,0.5002640380492308,14.525,78.355
11-28-551-05221-593252,14.480130523171812,78.31328838176202,0.5726001728069061,14.485,78.315
11-28-551-05221-593253,14.456157749500802,78.30321688592565,0.2314200772979513,14.455,78.305
11-28-551-05221-593254,14.458213414448974,78.32452393944392,0.3613777966654959,14.455,78.325
11-28-551-05222-593255,14.58443624315957,78.42414460148844,0.11149366281223054,14.585,78.425
11-28-551-05222-593256,14.578696157752525,78.44081963007157,0.6100281962734314,14.575,78.445
11-28-551-05222-593257,14.581163367897965,78.48442535424003,0.4315555233192258,14.585,78.485
11-28-551-05222-593258,14.557551768568494,78.53172408,0.4530753361796945,14.555,78.535
11-28-551-05222-593259,14.540973336293238,78.54488732813392,0.4484105382078409,14.545,78.545
11-28-551-05222-593260,14.514588975204742,78.55337266186505,0.18124307881192372,14.515,78.555
11-28-551-05222-593261,14.520838989290652,78.51532454327129,0.4645200419600522,14.525,78.515
11-28-551-05222-593262,14.544165083151036,78.51650572725451,0.18698070206264267,14.545,78.515
11-28-551-05222-593263,14.53958985832564,78.48942582,0.6989279614844598,14.535,78.485
11-28-551-05222-593264,14.530525495654214,78.46945953050543,0.6921202637118054,14.535,78.465
11-28-551-05222-593265,14.541136607731692,78.42430693500194,0.43650657861584286,14.545,78.425
11-28-551-05222-593266,14.491606047959202,78.40081223657289,0.5886038125758424,14.495,78.405
11-28-551-05222-593267,14.43127166,78.45412426344264,0.42563963912981717,14.435,78.455
11-28-551-05222-593268,14.484187558023223,78.44189382850526,0.34678776633268316,14.485,78.445
11-28-551-05222-593269,14.393897383910769,78.46952223390973,0.5028206010263055,14.395,78.465
11-28-551-05222-593270,14.447522338761232,78.48785556099828,0.4166522614660194,14.445,78.485
11-28-551-05222-593271,14.48533904428252,78.49666146,0.1830077839148245,14.485,78.495
11-28-551-05222-593273,14.439086310010602,78.51071349,0.6484297579667063,14.435,78.515
11-28-551-05223-593274,14.749207336041817,78.46302086432426,0.5145423026233399,14.745,78.465
11-28-551-05223-593275,14.741868206255374,78.47262551321433,0.43230330819791163,14.745,78.475
11-28-551-05223-593276,14.737796207373465,78.50380298,0.336894063,14.735,78.505
11-28-551-05223-593277,14.70278329968574,78.46119479980355,0.47829106818237493,14.705,78.465
11-28-551-05223-593278,14.701426532257925,78.49882321106575,0.5724569709289644,14.705,78.495
11-28-551-05223-593279,14.700854634388454,78.53356075043871,0.4867864886748844,14.705,78.535
11-28-551-05223-593280,14.67738009959401,78.56246139607947,0.3807015219368209,14.675,78.565
11-28-551-05223-593281,14.668104229257803,78.59006174427414,0.6342210150407339,14.665,78.595
11-28-551-05223-593282,14.652540870207766,78.50054941292532,0.551985284,14.655,78.505
11-28-551-05223-593283,14.64448278300723,78.46103352095365,0.4310639653303767,14.645,78.465
11-28-551-05223-593284,14.598661062752218,78.5108877,0.6019526139451082,14.595,78.515
11-28-551-05223-593285,14.627202970428877,78.51689342443902,0.31895601651482164,14.625,78.515
11-28-551-05223-593286,14.595204138324327,78.54240736,0.2802206777795768,14.595,78.545
11-28-551-05223-593287,14.606430110655547,78.56697782869587,0.2659646134368085,14.605,78.565
11-28-551-05223-593288,14.61059966325286,78.58465256159568,0.4912708826376033,14.615,78.585
11-28-551-05224-593290,14.651930085357849,78.60440553758737,0.3476867261536867,14.655,78.605
11-28-551-05224-593291,14.637985029523701,78.64596251812861,0.34808821753023156,14.635,78.645
11-28-551-05224-593292,14.630083768779746,78.66804863364618,0.6382246192448096,14.635,78.665
11-28-551-05224-593293,14.623246031015444,78.68026945603263,0.5456696545666626,14.625,78.685
11-28-551-05224-593294,14.596165504147088,78.66628361212472,0.18961703929622797,14.595,78.665
11-28-551-05224-593295,14.618461005500142,78.64756236217039,0.4739406291631048,14.615,78.645
11-28-551-05224-593296,14.606812894384612,78.63606525660508,0.23215381268312302,14.605,78.635
11-28-551-05224-593297,14.618320427766196,78.62950959984504,0.6103992451956095,14.615,78.625
11-28-551-05224-593298,14.630209701972946,78.59472535322908,0.5340734255317069,14.635,78.595
11-28-551-05224-593299,14.608079627794353,78.60232069,0.4481388664307038,14.605,78.605
11-28-551-05224-593300,14.591263492877232,78.59515687585355,0.4162892528905659,14.595,78.595
11-28-551-05224-593301,14.59431089550977,78.61917707599383,0.456477747,14.595,78.615
11-28-551-05224-593302,14.593793359035207,78.62926566890135,0.4787596354439888,14.595,78.625
11-28-551-05224-593303,14.588107657218053,78.65199791142766,0.47357846273692394,14.585,78.655
11-28-551-05224-593304,14.561735601639338,78.64691592565114,0.41792981744863344,14.565,78.645
11-28-551-05224-593306,14.567094645779344,78.61270091,0.34019012044692365,14.565,78.615
11-28-551-05224-593307,14.57064792718607,78.58854409660161,0.6168543732580344,14.575,78.585
11-28-551-05224-593308,14.583064380127029,78.55708740232689,0.3114481794553313,14.585,78.555
11-28-551-05224-593309,14.552507248019138,78.59240650662035,0.3938144526616579,14.555,78.595
11-28-551-05224-593310,14.498087356073073,78.57148003463872,0.511894726,14.495,78.575
11-28-551-05224-593311,14.53642763764958,78.60403424409941,0.18996472713245793,14.535,78.605
11-28-551-05224-593312,14.52207249102802,78.59940393,0.575697024,14.525,78.595
11-28-551-05224-593313,14.535459652891417,78.63152599,0.37782805108671225,14.535,78.635
11-28-551-05225-593314,14.590059698645081,78.70024571386423,0.7515101679241679,14.595,78.705
11-28-551-05225-593315,14.550916414481149,78.68073810694878,0.6461572724149293,14.555,78.685
11-28-551-05225-593316,14.544546945964555,78.66345857,0.17357987506914366,14.545,78.665
11-28-551-05225-593317,14.547063695833375,78.65018615771679,0.5672943854633743,14.545,78.655
